ID,ObsType,ObsID,Latitude,Longitude,Elevation(m),LocalDate,LocalTime,UTDate,UTTime,LimitingMag,SQMReading,Country,SQMSerial,CloudCover,Constellation,LocationComment,SkyComment
207326,GAN,2572,40.4593,-79.9192,281.027,2019-02-22,19:40,2019-02-22,23:40,-9999,,United States - Pennsylvania,,1/4 of sky,Orion,Urban location,Haze
215248,GAN,12928,40.4474,-79.9473,277.589,2019-11-19,22:58,2019-11-20,03:58,-9999,,United States - Pennsylvania,,over 1/2 of sky,Perseus,Between suburban and urban area. There are 3 streetlights and 2 porchlights. There are several apartment buildings in the vicinity,"It was extremely foggy, I could barely see any stars."
215263,GAN,12954,40.4444,-79.9151,321.877,2019-11-20,23:48,2019-11-21,04:48,3,,United States - Pennsylvania,,clear,Perseus,suburban; spare street lights,
215346,GAN,13062,40.4451,-80.0088,216.31,2019-11-23,19:29,2019-11-24,00:29,-9999,,United States - Pennsylvania,,1/4 of sky,Perseus,I was in an urban area with streetlights every ten feet and many trees.,"there was a lot of light pollution in my area, so I could not see many stars. there was also a purple/blue glow."
215369,GAN,13104,40.4486,-79.9467,277.055,2019-11-24,19:21,2019-11-25,00:21,-9999,,United States - Pennsylvania,,1/4 of sky,Perseus,"The location is urban near a residential community. There are several tall apartment buildings and churches nearby. There are not many street lights, but there are some wall lamps on the buildings and lights from homes.","The sky is so dark that it is hard to see any stars, but it is also very hard to see whether there are clouds or not."
215377,GAN,13114,40.4448,-79.9426,286.939,2019-11-24,23:04,2019-11-25,04:04,2,,United States - Pennsylvania,,clear,Perseus,,
215419,GAN,13172,40.4423,-79.9384,289.038,2019-11-25,23:27,2019-11-26,04:27,1,,United States - Pennsylvania,,clear,Perseus,"urban location, a few trees present, several large buildings with lights on, parking structures, sports fields, too many street lights to count, holiday lights on trees, lights from nearby buildings","No haze or clouds visible, but the stars are difficult to see."
215427,SQM,13193,40.4434,-79.9419,289.539,2019-11-26,16:59,2019-11-26,21:59,-9999,12,United States - Pennsylvania,,1/2 of sky,Perseus,urban,kinda cloudy rained earlier
